경찰  검사 불응 신천지 교인 엄정대응…&quot;완치 후 소환&quot;,다만 경찰은 코로나19 확산 방지가 최우선임을 고려해 우선 피고발인의 소재를 보건당국에 인계해... “지금은 방역 업무가 최우선이므로 이를 고려하여 사법 처리할 것”이라고 밝혔다. ▶ 코로나19 확산 관련기사 모음
광주 광산구 ‘익명의 천사’  수완동에 코로나19 극복 쌀 기부,김용재 기자  광주 광산구 곳곳에서 코로나19를 함께 극복하자는 기부가 이어지고 있는 가운데 지난 6일 오후 수완동 행정복지센터에 ‘코로나19로 어려운 이웃을 도와달라’는 쪽지와 함께 20kg들이 쌀 20포가 익명으로... 
동래구  제54회 납세자의 날 기념 우수납세자 표창,부산 동래구(구청장 김우룡)는 지난 6일 구청장실에서 제54회 납세자의 날(2020.3.3.)을 맞아 시 우수납세자 2명에 대하여 표창패를 전달하였다고 밝혔다.이는 최근 확산되고 있는 코로나 19 감염증으로 인해 지난 3일... 
한마음아파트 '신천지 입주' 의혹…강제수사 요구 계속,뉴스토마토 = 최병호 기자 | 신종 코로나바이러스(코로나19) 확진자 46명이 집단 발생해 코호트 격리(집단 격리)된 대구광역시 한마음아파트에서 입주민 142명 중 94명(66.19%)이 '신천지예수교증거장막성전'(신천지) 신도인... 
[코로나19]&quot;내가 잘못해서 밖에 못 나가는 거죠?&quot;…자폐성 장애아에게 코로나...,코로나19로 아동발달센터가 문을 닫으면서 자폐성 장애아들이 있는 가정에 시름이 깊어지고 있다. 일상이... 딸이 다니던 아동발달센터가 코로나19 예방 차원에서 문을 닫은 뒤로 자가격리에 들어간 것이다. 평상시라면... 
'코로나 책임' 이만희 수사  서울중앙이냐 수원이냐…이번주 판가름,뉴스토마토 = 정해훈 기자 | 서울중앙지검이 코로나19(신종 코로나바이러스 감염증) 확산과 관련한 신천지예수교 증거장막성전(신천지) 고발 사건에 대해 일각에서 우려하는 살인죄 등 적용을 위해 검토를 진행하고 있다.... 
장흥군  축협 공동방제단 등 유관 기관 방역 협력체계 구축,축협 공동방제단은 그동안 조류인플루엔자(AI) 등 가축질병 예방활동의 축적된 현장 경험을 살려 코로나-19... 정종순 장흥군수는 “우리 지역은 우리가 지킨다는 의지로 군을 믿고 협조해 주시길 바란다”며 “코로나19의... 
영도구  코로나19 극복 전 구민에게 '1인 1마스크' 배부,김철훈)는 코로나19 예방과 극복을 위해 오는 16일부터 전 구민에게 12만 장의 이중필터 장착 면마스크를... 안전하게 코로나19 감염을 예방할 수 있다.또한  마스크 5부제 시행과 관련하여 꼭 필요한 사람들이 먼저 공적... 
연기금  급락장 ‘구원투수’ 나서나,이투데이=이다원 기자 | 신종 코로나바이러스 감염증(코로나19) 전세계 확산 공포에 코스피가 4% 넘게 폭락했다. 9일 서울 중구 하나은행 딜링룸 전광판에 코스피 지수가 전 거래일보다 85.45포인트(4.19%) 내린 1954.77을... 
한국자유총연맹 사상구지회 여성회  사상구 보건소에 성품전달,한국자유총연맹 사상구지회 여성회(회장 이명숙)는 지난 5일 코로나19 전염병 예방과 확산방지를 위해 힘쓰고 있는 사상구 보건소 근무자 격려를 위해 라면 40박스를 전달했다. 디지털뉴스부
부산 코로나19 확진자 이틀째 '0명'…신천지 17명은 연락 無(종합),코로나19 추가 확진자가 이틀째 0명이 나오면서 진정국면으로 들어간 모양새다. 부산 보건 당국 또한 소규모 감염 집단이 발생하지 않으면 현재 상태가 지속될 것으로 보고 있다. 9일 열린 부산시청에서 열린 코로나19... 
'신천지 120억 기부' 3차 시도 실패…대한적십자사도 거절,대한적십자사는 이날 신천지 측으로부터 신종 코로나바이러스 감염증(코로나19) 관련 기부금에 대한 문의를 받았지만 이를 거절했다고 9일 밝혔다. 대한적십자사 관계자는 &quot;신천지에서 오늘 120억원의 성금 기탁의사를... 
봉래1동바르게살기위원회  코로나19 대응 방역 실시,9일 코로나19 확산 방지를 위해 관내 방역활동을 실시했다.이날 회원들은 버스정류소와 인근 상점  경로당 등 다중이용시설을 중심으로 방역활동을 펼치고  주민들에게도 코로나19 예방 국민행동수칙을 홍보하였다.... 
영도구  관내 종합복지관 힘 모아 코로나19 총력 대응,영도구 내 5개 종합사회복지관에서는 코로나19의 지역사회 확산을 우려해 지난 달 24일부터 휴관함에 따라... 방식으로 코로나19에 대응하고 있다. 거동이 불편한 홀몸어르신과 장애인 등 취약계층 가정에 대체급식을... 
